USAID MISSION COMPETITIVE FORECAST - FY15 3rd Quarter ,,,,,,,,,,,,,,
MBIO,A&A Specialist,Award_Title,Award_Description,NAICS_Code,Total_Estimated_Cost,Implementing_Partner,Award_Type,Small_Business_SA,Fiscal_Year_of_Action,Anticipated_Award_Date,Anticipated_Solicitation_Release_Date,Award_Length,Solicitation_Number,Business_Forecast_Status_Change
Senegal,Khady Sadio,Engaging Teachers and Parents Unions-COSYDEP,"The project will increase access to and retention in the lower secondary education cycle for approximately 267,000 children and youth, especially girls, in the conflict-affected areas of Ziguinchor, Sedhiou, Kolda (which together comprise the region known as the Casamance), and the conflict-prone areas of Kedougou and Tambacounda . The five-year, $42.6 million project is estimated to begin in FY 2016 and is designed to contribute to USAID/Senegal?s 2012-2016 Country Development Cooperation Strategy (CDCS) and update; specifically Development Objective 3, which seeks to increase effective citizen participation through better educated youth. The project also directly contributes to the achievement of Goal 3 of the USAID Education Strategy that aims to increase access to education for 15 million learners in countries affected by crisis or conflict. It is also designed to support the Government of Senegal?s (GOS) 2013-2025 education sector strategy. The project includes four implementing mechanisms: 1) a task order under the ABE ACCESS contract managed out of USAID/W/E3/EDU; 2) a Fixed Amount Reimbursement Mechanism with the Government of Senegal providing education infrastructure development in Southern Senegal; 3) an award to a local organization that will contribute to increasing access and retaining teachers in the target areas; and 4) a public private investment activity. An impact evaluation will also be conducted under a Mission-wide monitoring and evaluation mechanism.",,$1M - $3.99M,,Fixed Amount Award (FAA),N/A,2016,12/31/15,5/31/15,5 years,,
Somalia,Ali Ali,Somalia Economic Growth Activity,"The goal of the contract is to promote inclusive growth by strengthening the business enabling environment through access to finance and support to policy and regulation; enterprise development; and improving production, employment, and incomes through select value chains.",,$50M - $74.99M,TBD,Contract,N/A,2015,9/30/15,5/30/15,5 years,,
Somalia,Ali Ali,Program Specialist - Governance,Program Specialist - Governance - new position.,,"$0 - $149,999",TBD,Personal Services Contract (PSC),N/A,2015,8/31/15,3/31/15,2 years,,
Somalia,Ali Ali,Social Services Team Leader,Social Services Team Leader - new position.,,"$0 - $149,999",TBD,Personal Services Contract (PSC),N/A,2015,8/31/15,3/31/15,2 years,,
Somalia,Evans Mutende,Elections / Political Processes Officer,Elections / Political Processes Officer - new position.,,"$0 - $149,999",TBD,Personal Services Contract (PSC),N/A,2015,8/31/15,3/31/15,2 years,,
South Africa,Rose Dana,Tuberculosis South Africa Project (TBSAP),"To support the National TB Program vision of zero infections, death, stigma and discrimination from TB and HIV/AIDS, foucsing on increasing patients on treatment, reducing loss to follow up, increasing TB screening, increasing co-infected patients on ARVs, and strengthening monitoring, reporting, and surveillance systems for TB.",,$25M - $49.99M,TBD,Cooperative Agreement,N/A,2015,10/1/15,3/3/15,5 years,,
South Africa,Francinah Hlatshwayo,Southern Africa Energy Program,"This activity will work to increase private sector investment in clean energy. It is envisioned that this mechanism will have activities centered around transaction advisory support, policy and regulatory technical assistance, and capacity building.",,$50M - $74.99M,,Contract,N/A,2015,10/16/15,6/18/14,5 years,,Combination of Changes
South Africa,TBD,Expansion of Power Africa Activities,Power Africa Expansion,,$1B - $1.49B,,Indefinite Delivery Indefinite Quantity Contract (IDIQ),Partial set-aside,2016,4/29/16,6/10/15,5 years,,New Opportunity Not Previously Forecasted
South Africa,Francinah Hlatshwayo,Southern Africa Trade and Investment Hub,"The overarching goal of the Southern Africa Trade and Investment Hub is increasing international competitiveness, intra-regional trade, and food security in Southern Africa.",,$75M - $149.99M,,Contract,N/A,2015,9/19/15,6/30/15,5 years,,Change in Anticipated Solicitation Date
South Africa,Francinah Hlatshwayo,Regional Seed Harmonization in Southern Africa,"This mechanism will have a major component focusing on improving the competitiveness of regional agricultural value chains. This will include interventions designed to strengthen key regional value chains maize, soy, groundnuts, and seeds; agricultural trade; supporting the development of commodity exchanges and warehouse receipts, and market linkages that facilitate agribusiness partnerships, the development and use of standards, and support for agriculture associations.",,$10M - $24.99M,,Contract,N/A,2015,9/1/15,4/1/15,5 years,,
South Africa,TBD,Institutional Support to Power Africa,Institutional Support to Power Africa,,$4M - $9.99M,,Contract,Total set-aside,2016,12/18/15,9/30/15,5 years,,New Opportunity Not Previously Forecasted
South Africa,Paul Vacik,Improving Case Outcomes for Gender-Based Violence Pilot Project (ICOP),A rule of law project to benefit the Department of Justice and the Office of the Chief Justice. The project will pilot best practices for the reinstatement of South Africa's specialized sexual offenses courts and support to victims of gender-based violence (GBV),,$1M - $3.99M,,Cooperative Agreement,N/A,2015,6/5/15,2/20/15,,,
South Sudan,John Gemenze,Rural Wash Program (SSRWASH),Rural Wash Program (SSRWASH),,$50M - $74.99M,TBD,Contract,N/A,2015,9/30/15,3/1/15,5 years,,
South Sudan,John Gemenze,South Sudan Community Action Program (SSCAP),South Sudan Community Engagement Project (CEP),,$10M - $24.99M,TBD,Cooperative Agreement,N/A,2015,6/1/15,3/30/15,3 years,,
South Sudan,Susan George,Markets for Agricultural Incomes and Competitiveness (MAGIC),Markets for Agricultural Incomes and Competitiveness (MAGIC),,$50M - $74.99M,TBD,Contract,N/A,2016,1/1/16,5/20/15,3 years,,
South Sudan,John Gemenze,South Sudan Community Action Program (SSCAP),South Sudan Community Action Program (SSCAP),,$10M - $24.99M,TBD,Cooperative Agreement,N/A,2015,6/1/15,1/30/15,3 years,,
Tanzania,Jose Zentano,Mission wide Monitoring and Evaluation service,"Objective of the project is to provide continued, on-the-ground support for performance monitoring, data verification, evaluation of impact, output and outcome results and environmental compliance of a set of USAID/Tanzania programs so as to support the newly developed Country Development Cooperation Strategy (CDCS) and to meet the requirements of the newly developed Evaluation Policy.",,$50M - $74.99M,,Contract,N/A,2015,11/9/15,2/11/15,5 years,,
Tanzania,Galina Ponkratova,CARING FOR CHILDREN AND EMPOWERING YOUNG PEOPLE (C2EYP),This mechanism will improve the health and development outcomes of vulnerable children and youth in Tanzania by addressing the risks and vulnerabilities of most vulnerable children and youth.,,$50M - $74.99M,,Cooperative Agreement,N/A,2015,7/17/15,2/18/15,5 years,,
Tanzania,Jose Zentano,Early Grade Reading,Program to improve reading and learning achievement in grades 1-4,,$25M - $49.99M,,Contract,N/A,2016,11/20/15,2/20/15,5 years,,
Tanzania,Girma Debelu,Protect Biodiversity and wildlife in Northern Tanzania,Protect Biodiversity and wildlife in Northern Tanzania,,$10M - $24.99M,,Cooperative Agreement,N/A,2015,7/28/15,2/20/15,,,
Thailand,Tricia Siaso,Improving Childhood Nutrition and Health in Key Vulnerable Areas in Laos.,"To address stunting in Laos, this activity aims to improving childhood nutrition and health in key vulnerable areas by focusing on community sanitation and improved feeding practices. Nutrition and supplements together with deworming tablets will be provided. Open defecation issue will also be addressed as it leads to environmental enteropathy (sub-clinical condition of the small intestine that limits nutrient absorption), a factor contributing to stunting.",541990,$10M - $24.99M,TBD,Cooperative Agreement,N/A,2015,10/15/15,4/24/15,3 years,,
Thailand,Tricia Siaso,Local Capacity Initiative (LCI) for implementation in Thailand and Laos.,"Local capacity development activities that are designed to assist the non-governmental organization (NGO) community in Thailand and Laos in improving its management skills, which will expand the available pool of potential partners, to develop, implement, evaluate, and advocate for health service delivery improvements.",541990,$1M - $3.99M,TBD,Cooperative Agreement,N/A,2015,8/3/15,1/30/15,3 years,,
Thailand,Kornpreeya Paoluglam,USPSC Regional Wildlife Conservation Advisor,US/TCN PSC Regional Wildlife Conservation Advisor,541990,"$150,000 - $499,999",TBD,Personal Services Contract (PSC),N/A,2015,7/30/15,5/15/15,2 years,,
Thailand,Kornpreeya Paoluglam,USPSC Low Emission Advisor Sub-team leader,USPSC Low Emission Advisor Sub-team leader,541990,"$150,000 - $499,999",TBD,Personal Services Contract (PSC),N/A,2015,9/30/15,4/30/15,2 years,,
Thailand,TBD,USPSC Climate Change Team Lead,Off-shore Hire USPSC Climate Change Team Lead,541990,"$150,000 - $499,999",TBD,Personal Services Contract (PSC),N/A,2015,9/15/15,5/1/15,1 year,TBD,New Opportunity Not Previously Forecasted
Thailand,Karittha Jenchiewchan,Asia Support Services for Local Solutions,To provide local capacity development support in the areas of technical/and or advisory services to local USAID implementing partners and stakeholders in the Asia region.,541990,$10M - $24.99M,TBD,Indefinite Delivery Indefinite Quantity Contract (IDIQ),N/A,2015,9/25/15,3/20/15,5 years,,
Thailand,Karittha Jenchiewcharn,FTF-Asian Farm Innovation Activity,To promote enhanced regional economic connectivity through establishment of partnerships and a network to facilitate technology transfer and scaling with smallholder farmers in Asia. The Activity will serve as a platform to provide assistance to organizations that can contribute to the development of an agricultural innovation and diffusion network and development interventions in South and Southeast Asia,541990,$10M - $24.99M,TBD,Cooperative Agreement,N/A,2015,9/25/15,4/30/15,5 years,,
Thailand,Kornpreeya Paoluglam,USPSC Low Emission Advisor Sub-team leader,USPSC Low Emission Advisor Sub-team leader,541990,"$150,000 - $499,999",TBD,Personal Services Contract (PSC),N/A,2015,9/30/15,4/30/15,2 years,,
Thailand,Agnes Tusjak,Investment for Sustainable Landscapes in the Asia Region,Regional Trade of Forest and Agricultural Commodities (new sustainable landscape activity),541990,$4M - $9.99M,TBD,To Be Determined (TBD),TBD,2016,7/15/16,1/15/16,5 years,,Combination of Changes
Thailand,Agnes Tusjak,Sustainable Mekong Energy Initiative,"The goal of the Sustainable Mekong Energy Initiative is to support Lower Mekong countries to redirect current and future investment away from conventional power development and toward environmentally-friendly renewable energy and energy efficiency, leading to significantly reduced or avoided greenhouse gas emissions (measured in metric tons of carbon dioxide equivalent).",541990,$10M - $24.99M,TBD,To Be Determined (TBD),TBD,2016,6/15/16,12/15/15,5 years,,
Uganda,TBD,SI Tech Support,"The goal of the project is to strengthen country capacity to collect, manage, analyze and use information to guide decision-making. The purpose of this mechanism is to consolidate various PEPFAR SI activities managed by USAID into a larger, more comprehensive mechanism that uses economies of scale to increase efficiency and effectiveness in reaching this goal.",541990,$10M - $24.99M,TBD,Cooperative Agreement,N/A,2015,4/29/16,11/20/15,5 years,,
Uganda,TBD,Infrastructure for Biodiversity - Construction,Construction of properly designed and constructed infrastructure and facilities for Biodiversity,561990,$1M - $3.99M,TBD,Contract,no,2014,,,,,
Uganda,Alimo Florence,Uganda Sanitation Program,"The project proposed is to accelerate sustainable improvement in quality, access and supply of water and sanitation services, and improve hygiene behaviors in Uganda through Increased household access to sanitation and water services; expanded key hygiene behaviors at home, school, and health facilities and Strengthened district water and sanitation governance.",541990,$25M - $49.99M,TBD,Cooperative Agreement,N/A,2016,3/15/16,7/1/15,5 years,,
Uganda,Fatumah Mutaasa,USAID/Uganda Expanding Access to Long Term Family Planning Methods,"Support improving access especially at community level to affordable, quality family planning services and a wide range of contraceptive methods",,$25M - $49.99M,TBD,Cooperative Agreement,N/A,2016,5/31/16,4/14/15,5 years,,
Uganda,Florence Alimo,Karamoja Intergrated,"The purpose of USAID's 2014-2019 Karamoja Health and HIV/AIDS Integrated project is to secure services to support the design and implementation of a comprehensive, integrated investment in enhancing Karamoja's regional health, HIV/AIDS and nutritional conditions. The project will focus on maximizing the impact of the Government of Uganda (GOU), the United States Government (USG) and other.",541990,$10M - $24.99M,TBD,Cooperative Agreement,no,2016,1/15/16,8/31/15,5 years,,
Uganda,Godfrey Kyagaba,Election Activity,Contribute to USAID/Uganda's support for making ?Political Processes More Accountable and Participatory . Elections Activity will promote a more participatory electoral processes and positive electoral reforms by supporting credible management and effective oversight of elections in Uganda. The activity will provide targeted technical assistance to the Electoral Commission and civil society to enhance transparency in electoral administration and citizen confidence in elections and constructive engagement in political processes. The activity will simultaneously monitor and provide strategic support for the preparation and administration of the 2016,541990,$1M - $3.99M,TBD,Cooperative Agreement,N/A,2015,5/29/15,1/30/15,2 years,,
Uganda,TBD,Financial Inclusion for Agriculture Activity,"The Financial Inclusion for Agriculture activity will partner with other donors, Ugandan private and public sector institutions to support access to financial services in targeted areas, identified and prioritized by the Mission's Feed the Future (FTF) Initiative Value Chain Project.",561990,$4M - $9.99M,TBD,Cooperative Agreement,N/A,2016,6/26/15,9/30/15,3 years,,
Uganda,TBD,Private Not for Profit Comprehensive HIV/AIDS prevention Care and Treatment services,"USAID/Uganda's Health, HIV/AIDS and Education (HHE) Office seeks to initiate a five year program to contribute to a reduction in HIV infections, total fertility, maternal and child mortality, malnutrition, malaria and tuberculosis (TB).The core objective of the program is to enhance more effective use of health services within the target population.",541990,$10M - $24.99M,TBD,Cooperative Agreement,N/A,2016,2/29/16,7/24/15,5 years,,
Uganda,TBD,Infrastructure for Biodiversity - Architectual & Engineering+CMC,"To support the infrastructure needs in the biodiversity sector through the provision of high quality, environmentally sound, and properly designed and constructed infrastructure and facilities.",561990,"$500,000 - $999,999",TBD,Contract,N/A,2016,4/29/16,4/14/15,5 years,,
Uganda,TBD,Voucher Scheme,"The Mission will collaborate with other donors SIDA, The World Bank, and the GoU to increase access among poor women to skilled care during pregnancy, delivery, and postpartum. Over the five-year duration, the project will support the following key results: a) Support 450,000 pregnant women to deliver under skilled attendance; b) Support 50 percent of pregnant women enrolled under the scheme to attend at least 4 ante natal care visits; c) Support 100 percent of pregnant women with HIV enrolled under the scheme to receive Prevention of Mother-To-Child Transmission (PMTCT) services; and d) Support 30 percent of mothers enrolled under the scheme to access post natal care services.",541990,$10M - $24.99M,TBD,Cooperative Agreement,N/A,2015,12/1/15,4/1/15,5 years,,
Ukraine,,ODG: Local Governance Activity,USAID plans to support the Government of Ukraine to strengthen local governance by adopting and operationalizing a sound legislative framework for decentralization in Ukraine.,,$4M - $9.99M,TBD,Cooperative Agreement,N/A,2015,9/30/15,3/11/15,,,
Ukraine,,ODG: People to People Peacebuilding Activity,People to People Peacebuilding Activity,,$1M - $3.99M,TBD,Cooperative Agreement,N/A,2016,1/30/16,2/28/15,,,
Ukraine,TBD,PCS: Monitoring and evaluation services activity/Analytical IQC (TBC),The purpose of this activity is to provide monitoring and evaluation services to regional projects.,,$10M - $24.99M,TBD,Indefinite Delivery Indefinite Quantity Contract (IDIQ),N/A,2015,9/30/15,4/30/15,5 years,,
Vietnam,Karittha Jenchiewchan,USAID/Vietnam Innovation in Higher Education Addendum to GDA APS-OAA-14-000001,"The objective is to stimulate innovation in higher education through public-private alliances, and to drive broader innovation supporting more inclusive, sustainable growth in Vietnam, specifically in areas relevant to USAID's 2014-2018 Country Development Strategy.",541990,$1M - $3.99M,TBD,Cooperative Agreement,N/A,2015,9/30/15,1/8/14,5 years,,
West Bank/Gaza,Shirine Agbarieh,2015 Conflict Management and Mitigation,"This program supports people-to-people"" conflict mitigation and reconciliation programs and activities which bring together individuals of different ethnic, religious or political backgrounds from areas of civil conflict, national conflict and war. These programs will provide opportunities for adversaries to address issues, reconcile differences, promote greater understanding and mutual trust and work on common goals or solve shared issues with regard to potential, ongoing, or recent conflict.",,$4M - $9.99M,Multiple Awards,Cooperative Agreement,N/A,2016,8/31/16,4/15/15,,,
West Bank/Gaza,Miada Younis,Private Health Sector Grants,TBD,,$4M - $9.99M,TBD,Cooperative Agreement,N/A,2014,9/15/15,5/8/15,,,
Zambia,Cecilia Kasoma,Warehouse construction,Warehouse construction for commodity storage in Mansa,236220,$1M - $3.99M,TBD,Contract,no,2015,6/30/15,1/7/15,2 years,,
Zambia,Cecilia Kasoma,New School WASH Activity,Water and Sanitation Activity implementing hand-washing and sanitation facilities in schools,541990,$4M - $9.99M,TBD,To Be Determined (TBD),no,2015,8/17/15,2/28/15,,,
Zambia,Cecilia Kasoma,DISCOVER-H (District Coverage of Health Services),Social Marketing of Health Services and Products,541990,$50M - $74.99M,TBD,Cooperative Agreement,no,2015,8/10/15,3/20/15,5 years,,
Zambia,Cecilia Kasoma,Maternal Newborn and Child Health Project,"The project aims to make pregnancy and childbirth safe and decrease maternal and Child mortality through high impact interventions that will range from; systems strengthening, service delivery to community engagement in the promotion of good health seeking behavior practices. The project will contribute to the Saving Mothers Giving Life (SMGL) Endeavor that targets the critical periods of pregnancy and childbirth. The project may be awarded to international organizations preferably working with local partners whose capacity will be built to qualify for future awards.",541990,$4M - $9.99M,TBD,Cooperative Agreement,no,2015,6/29/15,1/19/15,5 years,,
Zambia,Edward Acevedo,Key Populations Activity,"Follow the HIV epidemic in Zambia expanding to additional hotspots where HIV prevalence is high and there are significant numbers of Key Populations. Implement and support national, targeted scale-up of comprehensive, high-quality prevention, care, and treatment programs and packages of interventions for each key populations, ensuring access to a continuum of HIV prevention, care and treatment services and aiming for HIV and health service integration, co-location, and KP-specific sites.",541990,$10M - $24.99M,TBD,Cooperative Agreement,N/A,2016,8/21/15,4/13/15,5 years,,
Zambia,Edward Acevedo,Community HIV Prevention Project,"Prevent HIV infections by promoting health-seeking behaviors in Zambian communities so people will live longer and better lives, and be more productive citizens. Will be a transition award, in which local organizations will receive direct funding after 2 years of capacity development from the prime partner if the local organization(s) are able to meet set milestones.",541990,$10M - $24.99M,TBD,Cooperative Agreement,N/A,2015,6/16/15,2/20/15,5 years,,
Zambia,Edward Acevedo,Open Doors Key Populations Activity,"Follow the HIV epidemic in Zambia expanding to additional hotspots where HIV prevalence is high and there are significant numbers of Key Populations. Implement and support national, targeted scale-up of comprehensive, high-quality prevention, care, and treatment programs and packages of interventions for each key populations, ensuring access to a continuum of HIV prevention, care and treatment services and aiming for HIV and health service integration, co-location, and KP-specific sites.",541990,$10M - $24.99M,TBD,Cooperative Agreement,N/A,2016,9/1/15,5/1/15,5 years,,Change in Award Title
Zambia,Charles Nyanoka,Traditional and Community Leadership Response to HIV/AIDS Activity,"Strengthen traditional, religious, community, ministries, and parliamentarian's leadership role in the HIV/AIDS response in their communities. Focus on building the capacity of leaders to transmit accurate messages and to engage and mobilize their communities to participate in HIV/AIDS activities.",541990,$25M - $49.99M,TBD,Cooperative Agreement,N/A,2016,10/30/15,5/4/15,5 years,,
Zambia,Ayana Angulo,District-Based Delivery of Comprehensive Clinical HIV/AIDS Services Project (D-SERVE),"Improve Provincial level HIV Prevention, Care & Treatment in six provinces",541990,"$150,000 - $499,999",TBD,Contract,no,2015,10/31/15,4/30/15,5 years,,
Zambia,Elizabeth Chisala,Increasing Citizen Demand for Accountable and Transparent Service Delivery in the Health Sector through Enhanced Community-Based Monitoring,"The project will seek to mobilize communities and increase their engagement in monitoring the delivery of health services. Proposed activities will include enhancing citizens action based on basic facts on utilization and quality of services collected from the communities themselves. It will include improving upon or developing community-based monitoring tools such as report cards, social contracts, and action plans. This component will seek to strengthen existing local governance social structures such, as the neighborhood health committees, health advisory committees, and/or safe-motherhood action groups. Health service providers under the Ministry of Community Development, Mother, and Child Health will also be involved to improve and strengthen their engagement with community members.",541990,$4M - $9.99M,TBD,Contract,no,2014,11/30/16,6/30/15,,,
Zambia,Elizabeth Chisala,Strengthening Oversight and Accountability of Resources in Zambia (SOAR-Zambia),"To improve service delivery and accountability by strengthening procurement, audit, and internal control functions in targeted ministries. These ministries include Health, Community Development, Mother and Child Health, and Education. Proposed activities are supported by analyses within the sector and findings from the Public Financial Management, Risk Assessment Framework (PFMRAF) conducted recently by USAID Zambia",541990,$4M - $9.99M,TBD,Contract,no,2014,9/30/15,3/27/15,,,
Zimbabwe,Theresa Peta,HIV Care and Treatment Project,"The over-arching strategic objective of the new HIV Care and Treatment project is to increase the availability and improve the quality of care and support services for persons living with HIV/AIDS (PLWHA), primarily through non-government organization (NGO) channels. Although working primarily through (but not limited to) non-governmental organizations, the HCT project is expected to contribute to Zimbabwe's national objectives in the health and education sectors while complementing public sector efforts to improve and expand the availability of critical services oriented to the mitigation of HIV/AIDS in the country. The HCT project has two key objectives: 1) expand the availability of HIV care and treatment services; and, 2) improve the quality and range of HIV care and treatment services that are offered through NGO-operated facilities, outreach and at the community level.",,$25M - $49.99M,TBD,Cooperative Agreement,N/A,2015,9/11/15,5/8/15,5 years,,Combination of Changes
Zimbabwe,,Zimbabwe Assistance Program in Malaria (ZAPIM),"There are five key objectives of ZAPIM that aim to strengthen the capacity of the National Malaria Control Programme (NMCP) at national, provincial, district, and/or community levels to: 1) Promote quality malaria case management and prevention of malaria during pregnancy (MIP), specifically at health facilities but also with other cadres at the community level as indicated by NMCP priorities 2) Formulate evidence-based national health policies, strategies, systems, and programs to prevent malaria through distribution, ownership, and correct, consistent, and increased use of long-lasting insecticide treated nets 3) Develop and innovatively and effectively implement social behavior change communication program to improve the prevention and treatment of malaria 4) Support malaria surveillance, monitoring and evaluation, and operational research activities in conjunction with national malaria programs and other partners to assess the efficacy / effectiveness of currently deployed malaria control tools 5) Conduct quality therapeutic efficacy trials together with National Institute of Health Research and partners on artemisinin-based combination therapy (ACT) medicines to monitor malaria drug resistance that is critical to identify early, not only for Zimbabwe, but also for the rest of malarious areas worldwide",,$10M - $24.99M,TBD,Cooperative Agreement,N/A,2015,9/18/15,5/8/15,5 years,,Combination of Changes
